Airline,Notes,icao
Delta Air Lines,,KRSW
Delta Air Lines,,KGEG
Delta Air Lines,,KSGF
Delta Air Lines,,KSTL
Delta Air Lines,,EDDS
Delta Air Lines,,YSSY
Delta Air Lines,,KSYR
Delta Air Lines,,KPVD
Delta Air Lines,,KTLH
Delta Air Lines,,KTPA
Delta Air Lines,,PANC
Delta Air Lines,,KCID
Delta Air Lines,,MPTO
Delta Air Lines,,MHTG
Delta Air Lines,,CYYZ
Delta Air Lines,,KTRI
Delta Air Lines,,KTUS
Delta Air Lines,,KTUL
Delta Air Lines,,TAPA
Delta Air Lines,,LKPR
Delta Air Lines,,KHRL
Delta Air Lines,,CYVR
Delta Air Lines,,LIPZ
Delta Air Lines,,KIAD
Delta Air Lines,,KHPN
Delta Air Lines,,KICT
Delta Air Lines,,KAVP
Delta Air Lines,,KOKC
Delta Air Lines,,KHOU
Delta Air Lines,,KILM
Delta Air Lines,,CYWG
Delta Air Lines,,KHDN
Delta Air Lines,,KCRW
Delta Air Lines,,LSZH
Delta Air Lines,,icao
Delta Air Lines,Seasonal,CYYC
Delta Air Lines,Seasonal,KTVC
Delta Air Lines,Seasonal,KEUG
Delta Air Lines,Seasonal,EGPH
Delta Air Lines,Seasonal,CYEG
Delta Air Lines,,MMMZ
Delta Air Lines,,KGPI
Delta Air Lines,Seasonal,EGPF
Delta Air Lines,,KJAC
Delta Air Lines,,PAJN
Delta Air Lines,Seasonal,KABE
Delta Air Lines,,MYNN
Delta Air Lines,Seasonal,CYUL
Delta Air Lines,,KMTJ
Delta Air Lines,,KPSP
Delta Air Lines,,TKPK
Delta Air Lines,,PTRO
Delta Air Lines,Seasonal,LKPR
Delta Air Lines,Seasonal,EKCH
Delta Air Lines,Seasonal,PAFA
Delta Air Lines,Seasonal,KBZN
Delta Air Lines,Seasonal,KGRB
Delta Air Lines,Seasonal,LFMN
Delta Air Lines,Seasonal,LGAV
Delta Air Lines,Seasonal,EDDT
Delta Air Lines,Seasonal,KEZF
Delta Air Lines,Seasonal,KHRL
Delta Air Lines,Seasonal,LIPZ
Delta Air Lines,Seasonal,KHDN
