ICAO,id,ident,type,name,Weight,latitude_deg,longitude_deg,elevation_ft,iso_country,iso_region,municipality,Alaska Airlines,American Airlines,Allegiant Air,Frontier Airlines,JetBlue Airways,Delta Air Lines,United Airlines,SkyWest Airlines,Southwest Airlines,Hawaiian Airlines,airline_count
EIDW,2533,EIDW,large_airport,Dublin Airport,,53.421299,-6.27007,242,IE,IE-D,Dublin,N,Y,N,N,N,Y,Y,N,N,N,3
EINN,2537,EINN,large_airport,Shannon Airport,,52.702,-8.92482,46,IE,IE-CE,Shannon,N,Y,N,N,N,Y,Y,N,N,N,3
LIRF,4372,LIRF,large_airport,Leonardo da Vinciâ€“Fiumicino Airport,,41.8002778,12.2388889,13,IT,IT-62,Rome,N,Y,N,N,N,Y,Y,N,N,N,3
LIPZ,4368,LIPZ,large_airport,Venice Marco Polo Airport,,45.505299,12.3519,7,IT,IT-34,Venice,N,Y,N,N,N,Y,Y,N,N,N,3
MKJP,4680,MKJP,large_airport,Norman Manley International Airport,,17.93569946,-76.78749847,10,JM,JM-01,Kingston,N,Y,N,N,Y,Y,N,N,N,N,3
MKJS,4681,MKJS,medium_airport,Sangster International Airport,,18.50370026,-77.91339874,4,JM,JM-08,Montego Bay,N,Y,N,Y,Y,Y,Y,N,Y,N,6
RJAA,5531,RJAA,large_airport,Narita International Airport,,35.76470184,140.3860016,141,JP,JP-12,Tokyo Narita,N,Y,N,N,N,N,Y,N,N,Y,3
TFFF,6363,TFFF,medium_airport,Martinique AimÃ© CÃ©saire International Airport,,14.5909996,-61.00320053,16,MQ,MQ-U-A,Fort-de-France,N,Y,N,N,N,N,N,N,N,N,1
MMCZ,4706,MMCZ,medium_airport,Cozumel International Airport,,20.5223999,-86.92559814,15,MX,MX-ROO,Cozumel,N,Y,N,N,N,Y,Y,N,Y,N,4
EHAM,2513,EHAM,large_airport,Amsterdam Airport Schiphol,,52.308601,4.76389,-11,NL,NL-NH,Amsterdam,N,Y,N,N,N,Y,Y,N,N,N,3
MPTO,4793,MPTO,large_airport,Tocumen International Airport,,9.071359634,-79.38349915,135,PA,PA-8,Tocumen,N,Y,N,N,N,Y,Y,N,N,N,3
SPIM,6217,SPIM,large_airport,Jorge ChÃ¡vez International Airport,,-12.0219,-77.114305,113,PE,PE-LIM,Lima,N,Y,N,N,Y,Y,Y,N,N,N,4
TKPK,6386,TKPK,medium_airport,Robert L. Bradshaw International Airport,,17.31119919,-62.71870041,170,KN,KN-U-A,Basseterre,N,Y,N,N,N,Y,Y,N,N,N,3
TLPL,6389,TLPL,medium_airport,Hewanorra International Airport,,13.7332,-60.952599,14,LC,LC-11,Vieux Fort,N,Y,N,N,Y,Y,Y,N,N,N,4
